Início da Leitura : Um voo sobre as capitais brasileiras: Região Centro-Oeste
Page : 1 Time : 18/12/2022 15:21:14
Timestamp: 633925371,3405	 X: 330,951489597317 Y:88,1066763021642
Timestamp: 633925380,7192	 X: 331,492795124719 Y:88,8143747971093
Timestamp: 633925392,2184	 X: 331,785932635674 Y:89,0540324125471
Timestamp: 633925402,7305	 X: 331,928897512917 Y:87,1866561576784
Timestamp: 633925419,1182	 X: 332,31973842754 Y:86,1250874255899
Timestamp: 633925425,7128	 X: 332,6852678764 Y:84,8730214685294
Timestamp: 633925436,2789	 X: 331,377756081946 Y:83,1100379944226
Timestamp: 633925450,4007	 X: 331,160870009621 Y:83,0448499707928
Timestamp: 633925458,8268	 X: 331,369122865413 Y:82,7378014123431
Timestamp: 633925469,3099	 X: 331,448016081521 Y:82,5758626013435
Timestamp: 633925482,2695	 X: 332,481127756952 Y:81,6226789857191
Timestamp: 633925492,1171	 X: 336,460878763159 Y:78,7424567336288
Timestamp: 633925502,7608	 X: 352,752620370629 Y:80,5801421616222
Timestamp: 633925514,3309	 X: 358,964528961814 Y:82,636653525415
Timestamp: 633925525,2006	 X: 363,977117995032 Y:82,9737071446371
Timestamp: 633925535,8794	 X: 366,409238577464 Y:82,6695639586879
Timestamp: 633925561,3063	 X: 367,739238414652 Y:82,6568098690481
Timestamp: 633925569,1872	 X: 374,711827546173 Y:84,1896164604242
Timestamp: 633925580,486	 X: 375,783488244273 Y:84,359560844756
Timestamp: 633925592,2699	 X: 375,330545959231 Y:83,9992999298485
Timestamp: 633925602,7408	 X: 375,667752968078 Y:83,3266409607244
Timestamp: 633925614,0057	 X: 375,550019597089 Y:83,1876789165608
Timestamp: 633925640,3147	 X: 375,524777317938 Y:83,092308931785
Timestamp: 633925647,1389	 X: 375,822390793962 Y:82,4703488868587
Timestamp: 633925658,8852	 X: 376,288703512256 Y:81,8751590659013
Timestamp: 633925672,2775	 X: 377,354840692023 Y:80,4740239175412
Timestamp: 633925680,5208	 X: 377,464186578285 Y:79,5257729055689
Timestamp: 633925691,8328	 X: 377,312209513287 Y:79,2167769741475
Timestamp: 633925703,3162	 X: 377,47351579137 Y:80,8495155254341
Timestamp: 633925714,0466	 X: 378,006914065686 Y:81,7061259689795
Timestamp: 633925725,0058	 X: 382,026947076897 Y:81,1632635233694
Timestamp: 633925750,3149	 X: 384,040103468571 Y:81,6224965773966
Timestamp: 633925758,463	 X: 413,521353878032 Y:79,7423970776914
Timestamp: 633925768,9947	 X: 421,637728639015 Y:79,6936056486511
Timestamp: 633925782,2803	 X: 427,351715589836 Y:79,35944686499
Timestamp: 633925791,9906	 X: 440,686530080508 Y:79,7248794165025
Timestamp: 633925802,4185	 X: 445,068390243596 Y:79,6637710027141
Timestamp: 633925828,9028	 X: 458,93002806317 Y:78,2922721048177
Timestamp: 633925835,7882	 X: 457,710497517591 Y:77,231239024227
Timestamp: 633925847,496	 X: 456,894001791149 Y:77,8369596258723
Timestamp: 633925858,6523	 X: 457,295262605981 Y:78,1988492093955
Timestamp: 633925869,4558	 X: 456,471156254724 Y:78,3089875314368
Timestamp: 633925880,7432	 X: 456,640878815729 Y:78,2975086844231
Timestamp: 633925891,88	 X: 456,832968738543 Y:78,6461886009281
Timestamp: 633925907,9	 X: 456,858962562024 Y:78,7831899600388
Timestamp: 633925914,116	 X: 455,999246604842 Y:79,503993415911
Timestamp: 633925925,1602	 X: 456,011589668392 Y:79,2258109324324
Timestamp: 633925937,903	 X: 456,225909809146 Y:79,057462333472
Timestamp: 633925947,5565	 X: 456,696205516551 Y:78,0429733405187
Timestamp: 633925958,7949	 X: 457,462528972613 Y:78,1046672445052
Timestamp: 633925984,8704	 X: 466,077771619252 Y:77,3925668931437
Timestamp: 633925991,9494	 X: 484,833741009888 Y:74,6258695270612
Timestamp: 633926016,8825	 X: 489,891566043054 Y:74,6930287778851
Timestamp: 633926025,2005	 X: 463,869990962426 Y:72,0668041338719
Timestamp: 633926035,7243	 X: 410,081671829787 Y:67,9456242401259
Timestamp: 633926062,6474	 X: 351,623604638243 Y:64,7473970813061
Timestamp: 633926069,2568	 X: 324,973533573425 Y:64,8278306720464
Timestamp: 633926080,7729	 X: 314,452754409244 Y:65,4185984505372
Timestamp: 633926092,3693	 X: 300,913882194086 Y:65,8846650479473
Timestamp: 633926102,4558	 X: 209,898695609044 Y:63,992308980725
Timestamp: 633926114,0753	 X: 207,085140363529 Y:63,0259526929412
Timestamp: 633926139,83	 X: 207,216011454407 Y:68,1282599272554
Timestamp: 633926146,7924	 X: 207,9259239454 Y:70,1421932881179
Timestamp: 633926158,2808	 X: 208,698042928088 Y:68,9656738017809
Timestamp: 633926169,076	 X: 208,845403954633 Y:68,7938947450003
Timestamp: 633926180,1505	 X: 209,326082386633 Y:69,056648665686
Timestamp: 633926191,669	 X: 209,72410339273 Y:69,5007325387885
Timestamp: 633926203,8018	 X: 209,912821093697 Y:69,6513949806907
Timestamp: 633926213,5851	 X: 209,526686080776 Y:69,1957593942783
Timestamp: 633926225,4623	 X: 209,023619904743 Y:69,2801673917563
Timestamp: 633926235,5193	 X: 201,359171274513 Y:68,3851054715299
Timestamp: 633926251,8313	 X: 182,242644371715 Y:64,793365583767
Timestamp: 633926258,2352	 X: 164,53698750705 Y:63,8506158201658
Timestamp: 633926283,8074	 X: 160,834633031391 Y:63,784558827272
Timestamp: 633926291,7264	 X: 153,32613146105 Y:64,0431475605035
Timestamp: 633926302,7131	 X: 151,532707027636 Y:64,0222236592217
Timestamp: 633926315,8013	 X: 149,227986386518 Y:63,9085874712348
Timestamp: 633926325,0705	 X: 149,656376453951 Y:61,7848635651166
Timestamp: 633926335,6153	 X: 149,741436415745 Y:62,1951071081812
Timestamp: 633926347,767	 X: 149,63472499814 Y:62,3414893682806
Timestamp: 633926358,5207	 X: 149,173181306878 Y:62,4063968211818
